,run_id,ensemble_id,model,topic,agent_type,n_agents,max_t,n_initial_posts,initial_neighb-peer_ratio,background_beliefs,context_size,memory_loss,relevance_deprecation,self_confidence,contribution_probability,n_gram_prohibition,perspective_expansion_method,conf_bias_exponent,homophily_exponent,peer_selection_method,fwd_batch_size,epsilon,temp/top_p
0,20210409-01_7-11,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,all_neighbors,1,0.04,"[1.4, 0.95]"
1,20210409-01_20-16,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.0, 0.5]"
2,20210409-01_72-3,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,confirmation_bias_lazy,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
3,20210409-01_4-27,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,random,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
4,20210409-01_74-21,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,confirmation_bias_lazy,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
5,20210409-01_70-4,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,confirmation_bias_lazy,50.0,50.0,all_neighbors,1,0.04,"[1.4, 0.95]"
6,20210409-01_8-18,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,all_neighbors,1,0.04,"[1.4, 0.95]"
7,20210409-01_46-26,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,homophily,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
8,20210409-01_72-17,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,confirmation_bias_lazy,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
9,20210409-01_30-21,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.0, 0.5]"
10,20210409-01_64-4,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,confirmation_bias_lazy,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
11,20210409-01_25-10,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.4, 0.95]"
12,20210409-01_60-6,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,homophily,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
13,20210409-01_25-17,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.4, 0.95]"
14,20210409-01_14-11,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
15,20210409-01_48-4,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,homophily,50.0,50.0,all_neighbors,1,0.04,"[1.0, 0.5]"
16,20210409-01_55-9,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,homophily,50.0,50.0,all_neighbors,1,0.04,"[1.4, 0.95]"
17,20210409-01_23-6,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.4, 0.95]"
18,20210409-01_17-13,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.0, 0.5]"
19,20210409-01_26-21,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,generating,20,150,5,0.5,0,8,2,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.0, 0.5]"
20,20210409-01_19-6,20210409-01,gpt2-xl,topics/all-drugs-should-be-legalized-7100.json,listening,20,150,5,0.5,0,8,1,0.9,1,0.2,5,random,50.0,50.0,bounded_confidence,1,0.04,"[1.0, 0.5]"
